,ROE,ROA,Margem Liquida,Margem Bruta,Divida Liquida,EBITDA,Divida_Liquida_EBITDA,Liquidez Corrente,PL/Ativos,Passivos/Ativos,Margem Ebit,Lucro Líquido,Dividendos Propostos (BPP),Dividendos a Pagar (BPP),Dividendos Pagos (DFC),Payout Contábil (%),Payout Caixa (%),FCL,Dividendos_Pagos_Total,Total_Acoes,VPA,LPA,Giro Ativos,Ticker_CVM,Ano,Dividendos_Pagos_T1,CNPJ,ticker
136,14.255,4.318,4.58,12.449,4444100.0,619137.0,7.178,1.325,30.291,100.0,-3.088,626938.0,0.0,201326.0,0.0,32.113,0.0,-558736.0,165641.0,152370.0,28.865,4.115,94.276,11932,2021,235533.0,61156113000175,MYPK3
137,9.415,2.66,2.385,10.672,4189940.0,599186.0,6.993,1.654,28.251,100.0,-3.322,404172.0,0.0,125623.0,-12554.0,31.082,3.106,1390014.0,235533.0,152370.0,28.174,2.653,111.532,11932,2022,158180.0,61156113000175,MYPK3
138,2.592,0.729,0.708,10.085,3803160.0,106671.0,35.653,1.627,28.107,100.0,-4.852,105891.0,0.0,13465.0,-14091.0,12.716,13.307,1463128.0,158180.0,150270.0,27.185,0.705,102.897,11932,2023,96289.0,61156113000175,MYPK3
139,27.334,6.087,4.03,11.028,2700.0,11447.0,0.236,2.004,22.269,100.0,-5.783,8796.0,0.0,0.0,0.0,0.0,0.0,4075.0,0.0,0.0,0.0,0.0,151.029,11975,2012,0.0,61351532000168,AZEV3
140,19.196,5.031,2.67,11.176,3242.0,9889.0,0.328,1.826,26.209,100.0,-7.737,7680.0,0.0,0.0,0.0,0.0,0.0,-542.0,0.0,0.0,0.0,0.0,188.396,11975,2013,0.0,61351532000168,AZEV3
141,15.655,4.527,2.127,11.09,-5423.0,15310.0,-0.354,1.85,28.919,100.0,-6.489,7076.0,0.0,46.0,0.0,0.65,0.0,10023.0,0.0,0.0,0.0,0.0,212.889,11975,2014,985.0,61351532000168,AZEV3
142,2.757,0.746,0.432,10.172,5517.0,9744.0,0.566,1.9,27.042,100.0,-6.793,1245.0,0.0,1637.0,0.0,131.486,0.0,-9955.0,985.0,0.0,0.0,0.0,172.713,11975,2015,1601.0,61351532000168,AZEV3
143,-676.514,-24.961,-32.525,-30.273,29525.0,-47035.0,-0.628,1.102,3.69,100.0,-8.185,-39779.0,0.0,36.0,0.0,-0.091,-0.0,-22407.0,1601.0,0.0,0.0,0.0,76.743,11975,2016,0.0,61351532000168,AZEV3
144,107.529,-63.158,-132.137,-86.023,34792.0,-74963.0,-0.464,0.613,-58.736,100.0,-31.529,-84264.0,0.0,36.0,0.0,-0.043,-0.0,-5267.0,0.0,0.0,0.0,0.0,47.798,11975,2017,0.0,61351532000168,AZEV3
145,63.022,-226.138,-272.125,-85.967,28719.0,-83724.0,-0.343,0.129,-358.827,100.0,-84.735,-133469.0,0.0,36.0,0.0,-0.027,-0.0,6073.0,0.0,0.0,0.0,0.0,83.101,11975,2018,0.0,61351532000168,AZEV3
146,14.524,-64.701,-2041.244,-398.003,33981.0,-21383.0,-1.589,0.097,-445.475,100.0,-821.791,-35783.0,0.0,36.0,0.0,-0.101,-0.0,1528.0,0.0,0.0,0.0,0.0,3.17,11975,2019,0.0,61351532000168,AZEV3
147,15.361,-57.859,-144.38,6.375,18113.0,-19967.0,-0.907,0.252,-376.658,100.0,-84.567,-36869.0,0.0,36.0,0.0,-0.098,-0.0,10120.0,0.0,19800000.0,-0.012,-0.002,40.074,11975,2020,0.0,61351532000168,AZEV3
148,177.745,45.367,247.37,30.88,-332.0,223605.0,-0.001,1.202,25.524,100.0,260.034,190136.0,0.0,0.0,0.0,0.0,0.0,-128551.0,0.0,54450000.0,0.002,0.003,18.34,11975,2021,0.0,61351532000168,AZEV3
149,-82.445,-14.624,-20.801,2.675,55630.0,-127545.0,-0.436,0.786,17.738,100.0,-35.849,-79972.0,0.0,0.0,0.0,-0.0,-0.0,-92535.0,0.0,77180469.0,0.001,-0.001,70.308,11975,2022,0.0,61351532000168,AZEV3
150,-16.021,-7.013,-11.82,9.794,37013.0,-90183.0,-0.41,0.493,43.772,100.0,-30.776,-50805.0,0.0,0.0,0.0,-0.0,-0.0,-275948.0,0.0,167810465.0,0.002,-0.0,59.328,11975,2023,0.0,61351532000168,AZEV3
151,106.583,-7.712,-8.07,15.825,70806.0,7529.0,9.404,0.834,-7.236,100.0,-11.875,-15381.0,0.0,0.0,0.0,-0.0,-0.0,-15901.0,0.0,0.0,0.0,0.0,95.56,11991,2012,0.0,84683671000194,MWET3
152,-50.138,2.228,2.074,23.905,73037.0,18218.0,4.009,0.719,-4.445,100.0,-15.93,4738.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,0.0,0.0,107.443,11991,2013,0.0,84683671000194,MWET3
153,81.395,-18.261,-21.109,12.849,72343.0,-38866.0,-1.861,0.484,-22.435,100.0,-32.714,-41300.0,0.0,0.0,0.0,-0.0,-0.0,2900.0,0.0,0.0,0.0,0.0,86.507,11991,2014,0.0,84683671000194,MWET3
154,57.24,-38.13,-46.521,4.236,76144.0,-51830.0,-1.469,0.291,-66.614,100.0,-38.399,-70577.0,0.0,0.0,0.0,-0.0,-0.0,16594.0,0.0,0.0,0.0,0.0,81.963,11991,2015,0.0,84683671000194,MWET3
155,14.601,-10.804,-17.373,8.677,68163.0,1172.0,58.16,0.252,-73.997,100.0,-7.714,-21138.0,0.0,0.0,0.0,-0.0,-0.0,10009.0,0.0,0.0,0.0,0.0,62.188,11991,2016,0.0,84683671000194,MWET3
156,-4.624,3.565,5.264,5.568,65389.0,-15935.0,-4.103,0.304,-77.084,100.0,-18.675,6399.0,0.0,0.0,0.0,0.0,0.0,2609.0,0.0,0.0,0.0,0.0,67.723,11991,2017,0.0,84683671000194,MWET3
157,18.993,-18.135,-19.903,8.474,70953.0,-17095.0,-4.151,0.318,-95.48,100.0,-18.962,-32441.0,0.0,0.0,0.0,-0.0,-0.0,-4099.0,0.0,0.0,0.0,0.0,91.117,11991,2018,0.0,84683671000194,MWET3
158,18.637,-22.538,-21.839,8.423,74286.0,-13571.0,-5.474,0.248,-120.935,100.0,-15.999,-39123.0,0.0,0.0,0.0,-0.0,-0.0,-7894.0,0.0,0.0,0.0,0.0,103.204,11991,2019,0.0,84683671000194,MWET3
159,-13.438,13.522,16.999,11.174,45101.0,92074.0,0.49,0.365,-100.622,100.0,20.721,24864.0,0.0,0.0,0.0,0.0,0.0,-10694.0,0.0,1734.0,-106.706,14.339,79.541,11991,2020,0.0,84683671000194,MWET3
160,-261.365,57.998,53.173,15.852,55476.0,18505.0,2.998,0.906,-22.19,100.0,-8.311,129833.0,0.0,0.0,0.0,0.0,0.0,-6088.0,0.0,2058.0,-24.138,63.087,109.075,11991,2021,0.0,84683671000194,MWET3
161,-245.753,8.98,8.205,15.977,57417.0,7767.0,7.392,1.05,-3.654,100.0,-13.267,24042.0,0.0,0.0,0.0,0.0,0.0,-3253.0,0.0,2058.0,-4.754,11.682,109.443,11991,2022,0.0,84683671000194,MWET3
162,437.465,-8.453,-9.451,12.709,79856.0,-15733.0,-5.076,1.01,-1.932,100.0,-17.202,-25338.0,0.0,0.0,0.0,-0.0,-0.0,-19482.0,0.0,2058.0,-2.814,-12.312,89.442,11991,2023,0.0,84683671000194,MWET3
163,30.794,0.67,8.396,60.029,61182850.0,6742.0,9074.881,2.342,2.174,100.0,-49.415,619864.0,0.0,0.0,-142967.0,0.0,23.064,5112250.0,73706.0,408974.0,4.922,1.516,7.974,1210,2020,23199.0,92702067000196,BRSR3
164,46.834,1.025,14.124,53.123,62812630.0,453210.0,138.595,1.374,2.189,100.0,-33.886,1084460.0,0.0,0.0,-419243.0,0.0,38.659,-1316630.0,23199.0,408974.0,5.662,2.652,7.26,1210,2021,14975.0,92702067000196,BRSR3
165,32.003,0.741,6.471,30.361,66611530.0,-420854.0,-158.277,1.869,2.316,100.0,-24.519,842242.0,0.0,0.0,-345520.0,0.0,41.024,-49831.0,14975.0,408974.0,6.435,2.059,11.452,1210,2022,14827.0,92702067000196,BRSR3
